-1 1:0.3202365 2:0.134995 3:0.3650125 4:0.869914 5:0.25 6:0.5479452
-1 1:0.0652345 2:0.0899015 3:0.355162 4:0.840365 5:0 6:0.5945205
-1 1:0.0300703 2:0.105168 3:0.4100745 4:0.860159 5:0 6:0.5671233
-1 1:0.0747705 2:0.0502055 3:0.335139 4:0.759523 5:0.625 6:0.6328767
-1 1:-0.180237 2:-0.2199185 3:0.160024 4:0.449859 5:0 6:0.4520548
-1 1:0.3651695 2:0.655065 3:0.36475 4:0.840412 5:0.125 6:0.3342466
-1 1:-0.0498406 2:-0.00476534 3:0.3399 4:0.680459 5:0 6:0.5972603
-1 1:0.1547945 2:0.4698355 3:0.174814 4:0.55 5:0 6:0.539726
-1 1:0.060149 2:0.2299185 3:0.240008 4:0.729951 5:0 6:0.6383562
-1 1:0.00999535 2:0.3052125 3:0.2399465 4:0.740065 5:0 6:0.6575342
-1 1:0.3250185 2:0.2352055 3:0.3750425 4:0.819943 5:0.25 6:0.4739726
-1 1:0.3497555 2:0.524765 3:0.334945 4:0.700456 5:0 6:0.4630137
-1 1:0.285168 2:0.49986 3:0.2397995 4:0.570232 5:0 6:0.5643836
-1 1:0.2797635 2:0.3299775 3:0.190206 4:0.569729 5:0.5 6:0.6082192
-1 1:0.0200656 2:0.0401584 3:0.3199475 4:0.770286 5:0.25 6:0.4931507
-1 1:0.114792 2:0.0701165 3:0.374762 4:0.659724 5:0.625 6:0.7178082
-1 1:0.3648355 2:0.09997 3:0.339924 4:0.730103 5:0 6:0.5369863
-1 1:0.144792 2:0.4301165 3:0.319762 4:0.889724 5:0 6:0.7178082
-1 1:-0.0699275 2:-0.0747635 3:0.1497555 4:0.449626 5:0 6:0.5506849
-1 1:-0.0449238 2:0.279815 3:0.30503 4:0.730181 5:0 6:0.5041096
-1 1:-0.04483185 2:-0.12014 3:0.3497995 4:0.810232 5:0 6:0.5643836
-1 1:0.3500675 2:0.074982 3:0.274836 4:0.699832 5:0 6:0.3315068
-1 1:0.03502745 2:-0.0799975 3:0.365007 4:0.74966 5:0 6:0.5561644
-1 1:0.1600815 2:0.2849745 3:0.390221 4:0.880149 5:0.625 6:0.4493151
-1 1:0.1550675 2:0.489982 3:0.319836 4:0.689832 5:0 6:0.3315068
-1 1:0.394877 2:0.1498255 3:0.3551685 4:0.799781 5:0 6:0.6493151
-1 1:-0.1001745 2:0.3898535 3:0.19489 4:0.730332 5:0 6:0.6465753
-1 1:0.0249894 2:0.2751185 3:0.2847725 4:0.589799 5:0 6:0.5808219
-1 1:0.215153 2:0.03010185 3:0.354946 4:0.790383 5:0.75 6:0.6164384
-1 1:0.355157 2:0.2650665 3:0.344889 4:0.709617 5:0 6:0.5726027
-1 1:0.185203 2:0.4147845 3:0.249824 4:0.550172 5:0.25 6:0.4219178
1 1:0.0400604 2:0.0750655 3:0.119969 4:0.429964 5:0 6:0.4958904
1 1:0.1947815 2:0.080175 3:0.130133 4:0.600217 5:0 6:0.6027397
1 1:-0.04513975 2:0.2551465 3:0.1201135 4:0.469506 5:0 6:0.5616438
1 1:0.0552125 2:0.4500065 3:0.0249477 4:0.47015 5:0.25 6:0.6547945
1 1:-0.02507115 2:0.2051345 3:0.135182 4:0.390456 5:0 6:0.4164384
1 1:0.0600275 2:0.1250025 3:0.065007 4:0.19966 5:0.125 6:0.5561644
1 1:-0.124984 2:0.0598675 3:0.2449965 4:0.729853 5:0 6:0.6712329
1 1:-0.290056 2:0.235045 3:-0.0502095 4:-0.0103237 5:0 6:0.5232877
1 1:0.2800185 2:0.3302055 3:0.2300425 4:0.559943 5:0.375 6:0.4739726
1 1:-0.300064 2:-0.290056 3:0.0302427 4:0.169555 5:0 6:0.5260274
1 1:0.004815155 2:0.2851435 3:-0.01524015 4:0.00991089 5:0 6:0.5013699
1 1:-0.0200253 2:0.1049415 3:0.2749875 4:0.609611 5:0 6:0.4465753
1 1:-0.0649275 2:-0.1347635 3:0.3097555 4:0.829626 5:0.5 6:0.5506849
1 1:-0.2199185 2:-0.0400253 3:0.0452212 4:0.230149 5:0 6:0.4493151
1 1:-0.0899935 2:0.154877 3:2.151815e-05 4:0.100388 5:0 6:0.6520548
1 1:0.1749895 2:0.3151185 3:0.2147725 4:0.569799 5:0 6:0.5808219
1 1:0.0850255 2:-0.170155 3:0.1398195 4:0.44043 5:0 6:0.4328767
1 1:-0.0701315 2:-0.070073 3:-0.0501785 4:0.0803179 5:0 6:0.509589
1 1:-0.00514585 2:-0.0599795 3:0.279841 4:0.739803 5:0 6:0.4575342
