-1 1:1.451808 2:0.9050652 3:0.9063939 4:0.9934755 5:3.480426 6:-0.6874158
-1 1:-1.075396 2:-0.5044819 3:-0.451978 4:0.3157292 5:0.04579508 6:1.179025
-1 1:1.508146 2:-0.8050018 3:2.365243 4:0.752789 5:0.6182336 6:1.546657
-1 1:-0.2136562 2:0.2359682 3:-0.07996202 4:-0.1687072 5:-0.5266434 6:-0.1218277
-1 1:-1.505476 2:-1.45065 3:0.1118813 4:0.8009253 5:-0.5266434 6:-0.9702099
-1 1:1.022494 2:1.021441 3:-0.1254336 4:0.4626933 5:0.04579508 6:1.235584
-1 1:-0.989734 2:-1.336301 3:-0.07974138 4:1.042681 5:-0.5266434 6:0.04784876
-1 1:1.27892 2:0.5814026 3:-0.1704873 4:0.2210147 5:-0.5266434 6:1.376981
-1 1:0.4753301 2:-0.3877874 3:0.5312044 4:0.1699168 5:0.04579508 6:-0.2915041
-1 1:-0.1259099 2:1.113045 3:-0.1241379 4:-0.07143761 5:1.190672 6:0.9527898
-1 1:-1.763903 2:0.07299892 3:-0.3115307 4:0.07424415 5:-0.5266434 6:0.7265545
-1 1:-0.4715946 2:-1.266935 3:-0.9247111 4:-0.6489866 5:-0.5266434 6:-1.055048
-1 1:0.1310982 2:-0.2028522 3:0.9099571 4:0.7041396 5:-0.5266434 6:-0.9702099
-1 1:0.9052696 2:2.869422 3:-0.2184 4:0.07378925 5:-0.5266434 6:1.518378
-1 1:-0.04062721 2:-0.8742476 3:0.8142537 4:0.7532003 5:0.6182336 6:-0.3197835
-1 1:-0.8162236 2:-1.4744 3:0.01558642 4:0.6567002 5:-0.5266434 6:0.5285987
-1 1:1.682246 2:0.5128453 3:0.437177 4:0.754352 5:-0.5266434 6:-0.5177394
-1 1:1.566813 2:1.437678 3:1.284245 4:1.04046 5:-0.5266434 6:0.1892458
-1 1:1.452098 2:1.020694 3:1.328679 4:0.8511909 5:2.335549 6:-1.055048
-1 1:1.797409 2:0.3292735 3:0.9069244 4:1.141688 5:-0.5266434 6:0.6417163
-1 1:0.8194873 2:-0.01774371 3:1.237548 4:0.4595768 5:1.190672 6:0.274084
-1 1:0.2755905 2:-1.358368 3:-0.0773096 4:0.4611883 5:-0.5266434 6:-0.3763424
-1 1:-0.441983 2:0.743346 3:1.046484 4:0.8017867 5:1.190672 6:-1.45096
-1 1:-0.8440292 2:-1.382402 3:0.9059808 4:0.8502327 5:-0.5266434 6:0.3023634
-1 1:0.5050468 2:1.461091 3:1.425354 4:0.8490229 5:-0.5266434 6:0.8113928
-1 1:-2.080921 2:0.1673879 3:0.06414698 4:0.9435873 5:-0.5266434 6:1.009349
-1 1:0.9050658 2:1.576357 3:1.377545 4:0.9936062 5:-0.5266434 6:-0.8570923
-1 1:1.04965 2:0.1894577 3:0.5775679 4:0.8018931 5:0.04579508 6:-0.9419305
-1 1:0.3022983 2:1.344154 3:-0.7369802 4:-0.4091034 5:-0.5266434 6:0.04784876
-1 1:-1.102732 2:-0.5268267 3:-1.064539 4:-0.602152 5:-0.5266434 6:1.857731
-1 1:-0.3572291 2:-0.2033675 3:0.1550572 4:0.8986788 5:-0.5266434 6:-0.9419305
1 1:0.5053914 2:0.05027976 3:-0.2659653 4:-0.3100965 5:-0.5266434 6:1.688054
1 1:-1.246825 2:0.1197636 3:-3.082966 4:-2.972683 5:-0.5266434 6:-0.2066659
1 1:-1.446577 2:-1.70515 3:-1.531943 4:-1.379249 5:-0.5266434 6:-0.1783865
1 1:0.7329613 2:-0.5031371 3:0.3892267 4:1.234917 5:-0.5266434 6:1.88601
1 1:-0.9876983 2:-0.6426963 3:-0.6882131 4:-1.135233 5:-0.5266434 6:1.065907
1 1:1.307138 2:0.8142532 3:0.2988188 4:0.1242678 5:-0.5266434 6:0.6982751
1 1:-2.337892 2:-1.867306 3:-1.957867 4:-4.863 5:-0.5266434 6:-0.06526887
1 1:-1.04462 2:-0.7116658 3:-1.392355 4:-1.812911 5:-0.5266434 6:0.132687
1 1:-0.9594258 2:-1.449985 3:0.5300026 4:0.9440858 5:1.763111 6:0.1609664
1 1:-0.385075 2:-0.9206516 3:0.5340868 4:0.8007559 5:-0.5266434 6:-0.9984893
1 1:-0.9023008 2:-1.474481 3:0.577197 4:1.13771 5:0.04579508 6:-0.06526887
1 1:-0.1832733 2:-1.243964 3:0.7183672 4:-2.39454 5:-0.5266434 6:-1.733754
1 1:1.050951 2:-0.6198582 3:-0.3615513 4:-0.2144094 5:-0.5266434 6:0.3023634
1 1:-0.989022 2:-0.1119109 3:-1.204366 4:-0.8922912 5:-0.5266434 6:1.037628
1 1:0.589362 2:0.489262 3:-1.156261 4:-1.084933 5:-0.5266434 6:1.320422
1 1:-2.309666 2:-2.167665 3:-2.094378 4:-2.250184 5:-0.5266434 6:-0.09354828
1 1:-0.1271388 2:-0.8042863 3:-1.205 4:-0.7466917 5:-0.5266434 6:0.5285987
1 1:-0.2706405 2:-1.660139 3:-0.1728533 4:-0.4103471 5:-0.5266434 6:-0.8288129
-1 1:-0.9308719 2:-1.5193 3:0.8132631 4:0.8491149 5:-0.5266434 6:-0.1501071
